epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1179,2.09561,4.96982,1.19835,0.0002,0.0026,0.00011,3e-05,1.68916,4.64821,0.97324,7.337e-05,7.337e-05,7.337e-05
2,25.2134,2.03798,4.44676,1.04189,0.00089,0.01429,0.00228,0.00042,1.77835,4.50158,0.92602,0.000151891,0.000151891,0.000151891
3,35.6825,2.01997,3.78854,0.97657,0.00497,0.08681,0.04503,0.0212,1.63253,4.31701,0.90837,0.000228828,0.000228828,0.000228828
4,47.8933,1.92,2.98092,0.96742,0.00686,0.14018,0.07073,0.03493,1.65389,3.93029,0.92946,0.000304179,0.000304179,0.000304179
5,63.2826,1.82301,2.43408,0.96578,0.02295,0.31539,0.14897,0.07942,1.61184,3.51629,0.96027,0.000377946,0.000377946,0.000377946
6,75.2642,1.79291,2.19423,0.94746,0.85575,0.07211,0.15763,0.09022,1.57747,2.94076,0.98068,0.000450128,0.000450128,0.000450128
7,85.2087,1.79356,1.87763,0.95775,0.90113,0.12017,0.2375,0.14822,1.59091,2.62472,0.97867,0.000520726,0.000520726,0.000520726
8,98.7687,1.65803,1.76321,0.94485,0.81227,0.18113,0.2769,0.17208,1.60471,2.30918,0.96159,0.000589738,0.000589738,0.000589738
9,108.629,1.71578,1.71482,0.93918,0.54317,0.24032,0.32055,0.19323,1.55823,2.11362,0.97057,0.000614174,0.000614174,0.000614174
10,119.841,1.6625,1.56294,0.9368,0.5784,0.21632,0.31568,0.18778,1.55818,2.07079,0.97147,0.00060757,0.00060757,0.00060757
11,131.239,1.61297,1.47403,0.9377,0.50617,0.28826,0.3355,0.20468,1.51649,2.09866,0.95082,0.000600967,0.000600967,0.000600967
12,140.118,1.57269,1.43721,0.93149,0.65256,0.29763,0.40403,0.24019,1.54832,1.91189,0.96816,0.000594364,0.000594364,0.000594364
13,149.392,1.55472,1.40576,0.92205,0.7485,0.2906,0.41927,0.25251,1.51467,1.92571,0.94325,0.00058776,0.00058776,0.00058776
14,159.764,1.58389,1.38774,0.91717,0.59356,0.31261,0.39752,0.23722,1.53165,1.98738,0.95937,0.000581157,0.000581157,0.000581157
15,170.309,1.53414,1.25836,0.92168,0.62339,0.31127,0.42338,0.26007,1.49604,1.91751,0.9559,0.000574554,0.000574554,0.000574554
16,180.269,1.57212,1.2621,0.91027,0.63998,0.34124,0.44766,0.24194,1.5757,1.93774,0.95925,0.00056795,0.00056795,0.00056795
17,189.346,1.4515,1.21278,0.92081,0.6908,0.3856,0.47812,0.3061,1.50642,1.7492,0.95461,0.000561347,0.000561347,0.000561347
18,198.01,1.48161,1.19642,0.90646,0.672,0.41968,0.48778,0.30243,1.52131,1.57898,0.95344,0.000554744,0.000554744,0.000554744
19,206.518,1.53186,1.1751,0.89569,0.71632,0.36893,0.43338,0.23927,1.64498,1.86452,0.96975,0.000548141,0.000548141,0.000548141
20,218.584,1.41341,1.11572,0.89673,0.52978,0.42086,0.4928,0.29517,1.51193,1.73982,0.97087,0.000541537,0.000541537,0.000541537
21,226.875,1.45824,1.08616,0.90262,0.50881,0.45901,0.48613,0.27915,1.60864,1.70558,0.956,0.000534934,0.000534934,0.000534934
22,240.734,1.4481,1.11578,0.89651,0.52562,0.44241,0.48171,0.28706,1.49111,1.61178,0.94085,0.000528331,0.000528331,0.000528331
23,252.919,1.41293,1.11458,0.90289,0.54924,0.458,0.49865,0.30574,1.52465,1.5638,0.95222,0.000521727,0.000521727,0.000521727
24,265.072,1.34676,1.0019,0.88762,0.56346,0.46056,0.52504,0.31944,1.46283,1.4461,0.96365,0.000515124,0.000515124,0.000515124
25,281.008,1.41033,1.05039,0.89615,0.60931,0.43212,0.5258,0.328,1.47538,1.43858,0.97277,0.000508521,0.000508521,0.000508521
26,291.868,1.41652,1.03163,0.8905,0.65803,0.45951,0.55539,0.33464,1.49182,1.37638,0.97862,0.000501917,0.000501917,0.000501917
27,304.854,1.37096,0.98694,0.88247,0.57377,0.47117,0.55043,0.35437,1.4451,1.3518,0.96622,0.000495314,0.000495314,0.000495314
28,315.769,1.37187,0.99619,0.88289,0.57048,0.46323,0.52707,0.31744,1.52725,1.39934,0.96913,0.000488711,0.000488711,0.000488711
